TIME(2025/07/31 16:07:46.854),LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,SACCADE_MAG,SACCADE_DIR,BKID,BKDUR,BKPMIN,participant_id,Round_ID,Segment_ID,Interval_Start_s,Interval_End_s
184.25,0.26624,0.57661,9.69338,1.0,1,0.64265,0.47067,10.06644,1.0,1,0.0,0.0,0,1.16112,10,17,-999,1,160,245
184.26562,0.26679,0.57735,9.17896,1.0,1,0.64255,0.46936,9.95567,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.28125,0.26632,0.57708,9.23498,1.0,1,0.64267,0.46944,10.64107,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.29688,0.26653,0.57384,9.48536,1.0,1,0.64266,0.46604,10.81538,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.3125,0.2671,0.57471,10.36178,1.0,1,0.64339,0.46445,,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.32812,0.26671,0.57524,10.59957,1.0,1,0.64324,0.46501,10.94324,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.34375,0.26955,0.5729,10.2672,1.0,1,0.64494,0.46534,,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.35938,0.26984,0.57068,10.39077,1.0,1,0.64583,0.46363,10.25571,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.375,0.26962,0.57097,10.55365,1.0,1,0.64577,0.46389,10.99313,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.40625,0.27033,0.5701,9.31234,1.0,1,0.64683,0.46358,10.47214,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.42188,0.27042,0.57039,9.76728,1.0,1,0.64665,0.46435,10.04377,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.4375,0.27041,0.57042,9.67678,1.0,1,0.64672,0.46458,10.46889,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.45312,0.26988,0.57109,9.18046,1.0,1,0.64669,0.4645,10.44604,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.46875,0.2697,0.57263,10.49134,1.0,1,0.64668,0.46514,9.89725,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.48438,0.27003,0.57222,10.61514,1.0,1,0.64658,0.46517,9.89219,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.5,0.26966,0.57436,,1.0,1,0.64623,0.46244,10.5249,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.51562,0.2705,0.57324,9.12617,1.0,1,0.6465,0.4668,10.62954,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.53125,0.26981,0.57325,9.80006,1.0,1,0.64651,0.46674,10.56933,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.54688,0.27139,0.57332,8.82393,1.0,1,0.64701,0.467,10.65168,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.5625,0.27096,0.57396,,1.0,1,0.6478,0.46698,10.65429,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.57812,0.27056,0.57392,,1.0,1,0.64783,0.46724,10.70633,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.59375,0.27215,0.5693,,1.0,1,0.64981,0.46742,9.90771,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.60938,0.27129,0.57526,,1.0,1,0.64992,0.46656,10.04921,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.625,0.27151,0.5753,,1.0,1,0.64992,0.46656,10.04921,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
184.65625,0.27189,0.57609,,1.0,1,0.65128,0.46886,10.24097,1.0,1,0.0,0.0,0,0.0,10,17,-999,1,160,245
185.84375,0.26822,0.57448,9.21173,1.0,1,0.64542,0.4715,9.80675,1.0,1,0.0,0.0,0,0.0,11,17,-999,1,160,245
185.85938,0.26829,0.57382,8.83178,1.0,1,0.6453,0.47007,,1.0,1,0.0,0.0,0,0.0,11,17,-999,1,160,245
185.875,0.2682,0.57534,,1.0,1,0.64379,0.47087,,1.0,1,0.0,0.0,0,0.0,11,17,-999,1,160,245
205.17188,0.29302,0.60784,11.11404,1.0,1,0.66479,0.5201,9.67815,1.0,1,0.0,0.0,0,0.11216,19,17,-999,1,160,245
205.1875,0.2927,0.60799,10.69873,1.0,1,0.66482,0.52016,9.88524,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.20312,0.29365,0.6069,11.42248,1.0,1,0.66571,0.52019,,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.21875,0.29347,0.60646,10.85068,1.0,1,0.66552,0.51966,9.90409,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.23438,0.29349,0.60674,10.83901,1.0,1,0.66535,0.51979,9.65401,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.25,0.29352,0.60802,10.78914,1.0,1,0.66513,0.52113,,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.65625,0.29406,0.6079,11.41988,1.0,1,0.66594,0.52013,9.72791,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.67188,0.29469,0.60817,11.94639,1.0,1,0.66652,0.52004,10.27014,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.6875,0.2967,0.60864,11.67807,1.0,1,0.66834,0.52121,10.14029,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.70312,0.29647,0.6075,11.58523,1.0,1,0.669,0.52298,11.26721,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.71875,0.2968,0.60822,12.25035,1.0,1,0.66943,0.52284,10.84104,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.73438,0.29666,0.60947,10.898,1.0,1,0.66969,0.52392,10.37307,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.76562,0.29741,0.60994,12.34352,1.0,1,0.66906,0.52379,,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
205.76562,0.29746,0.61006,12.32097,1.0,1,0.66912,0.52372,,1.0,1,0.0,0.0,0,0.0,19,17,-999,1,160,245
